Champion,Picks,Bans,PrioScore,Wins,Losses,Winrate,KDA,Avg BT,Avg RP,BP%,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
KSante,9,4,19%,4,5,44%,2.8,8,2.33,44.4,30:43:00,8.2,488,370,-14.8,-349,-180
Aurora,12,3,24%,4,8,33%,2.7,7.3,1.92,66.7,30:02:00,8.5,712,386,-0.8,-136,-52
Annie,7,10,33%,2,5,29%,2.6,8.6,1.86,71.4,30:56:00,8,626,358,-14.6,-1086,-583
KogMaw,1,0,1%,1,0,100%,2.5,-,3,0,30:15:00,10.7,498,473,-1,-376,97
Rumble,8,23,62%,4,4,50%,2.5,4.5,2.13,87.5,31:33:00,8.2,964,399,7.2,347,197
Galio,8,7,27%,4,4,50%,2.5,7.7,1.88,12.5,30:48:00,8.6,523,367,-9.8,-566,-266
Jayce,4,0,2%,2,2,50%,2.5,-,3.75,50,30:17:00,9.6,796,451,14,990,102
Zoe,2,0,1%,1,1,50%,2.5,-,4,50,32:23:00,7.8,626,403,2.5,354,380
Trundle,3,6,15%,1,2,33%,2.5,7.3,3.33,66.7,27:45:00,6.3,488,380,-10.7,-513,-794
LeBlanc,6,5,17%,3,3,50%,2.4,9,2.67,50,30:13:00,8.1,640,371,-2.5,87,59
Renata Glasc,4,1,6%,2,2,50%,2.4,10,2.75,25,27:25:00,1,222,253,-3.2,-218,-259
Varus,8,22,61%,2,6,25%,2.3,3.7,1.75,100,30:02:00,9.4,623,456,6.2,-114,203
Jax,5,7,20%,4,1,80%,2.2,8,3,20,28:06:00,8.3,692,441,-3,102,-204
Vi,12,9,39%,6,6,50%,2.2,4.1,1.75,91.7,29:06:00,7.3,330,389,4.2,-40,-61
Aatrox,5,0,5%,2,3,40%,2.2,-,2.6,20,32:58:00,7,530,376,-11.6,-154,-341
Syndra,3,5,14%,1,2,33%,2.2,8.4,2.33,66.7,28:40:00,8.9,612,366,4.3,-226,-252
Kennen,1,1,3%,0,1,0%,2.2,9,5,100,34:15:00,7.6,595,351,-7,-31,948
Zaahen,5,3,11%,2,3,40%,2.1,7,3,20,33:04:00,8.2,559,389,-15.4,-642,-905
Nautilus,6,12,35%,1,5,17%,2.1,5.3,2,50,32:08:00,1,174,246,0.7,-79,-36
Leona,2,2,6%,1,1,50%,2,10,3.5,50,30:31:00,1,149,262,2.5,62,60
Ambessa,10,12,39%,4,6,40%,1.9,4.4,2.4,60,29:15:00,8.3,667,397,3.7,129,151
Olaf,2,0,2%,0,2,0%,1.9,-,2.5,50,35:11:00,7.3,765,384,9.5,78,-188
Lee Sin,1,0,0%,0,1,0%,1.9,-,5,100,34:15:00,5.2,505,362,-8,498,-30
Kaisa,3,5,15%,0,3,0%,1.8,7.8,2.33,0,30:54:00,9.9,535,457,-18.3,310,-302
Dr. Mundo,4,3,11%,0,4,0%,1.8,8.7,2.25,75,33:23:00,7.4,692,361,15.2,-203,665
Neeko,9,8,31%,3,6,33%,1.7,4.9,1.78,44.4,28:49:00,1,317,262,-1.1,-46,-196
Azir,4,6,16%,2,2,50%,1.6,6.3,3,50,33:56:00,8.9,736,373,2.8,-412,42
Cassiopeia,2,1,4%,1,1,50%,1.6,7,3,0,31:26:00,8.3,625,386,-13,-398,-1016
Renekton,10,6,30%,6,4,60%,1.5,8,1.6,100,27:51:00,9.1,539,376,3.5,-35,-277
Lucian,2,4,10%,1,1,50%,1.5,6.8,3,50,27:51:00,9.5,783,497,-9.5,-520,-106
Taliyah,1,1,4%,0,1,0%,1.4,8,1,0,29:39:00,9,577,362,-2,-816,-349
Volibear,1,1,3%,0,1,0%,1.4,7,2,0,27:02:00,7.1,873,381,22,1125,1158
